tSNE_1	tSNE_2
P8467_1111	15.9333165756321	-13.6989788976959
P8467_1112	-11.2777307849224	14.8286826110014
P8467_1113	5.98922113195947	-7.83599015736491
P8467_1114	0.177972107102165	13.5059856562762
P8467_1115	-4.6275609648866	3.17194743085119
P8467_1116	-4.76521849062558	-11.4288322976971
P8467_1117	5.1859522237444	-4.15078668370385
P8467_1118	7.48330328456797	3.35369627620599
P8467_1119	1.5798711947597	-6.41506927038371
P8467_1120	-3.36841882379861	-2.1675458401161
P8467_1121	6.89176055580587	-3.8679864014095
P8467_1122	4.60546375540502	-5.45405034477403
P8467_1123	1.4705626754366	0.392074175557331
P8467_1124	2.16403109239557	0.382488464564867
P8467_1125	4.26763304548876	-13.4317820514709
P8467_1126	-14.3691860246728	16.9462286163145
P8467_1127	-13.374663671048	14.474073437974
P8467_1128	-13.4167461180693	15.4757948056941
P8467_1129	0.973624815523951	12.3433295475669
P8467_1130	8.18042174581088	-9.5566014159486
P8467_1131	1.61257631329797	-8.12506697716151
P8467_1132	6.61142531641552	-0.540810925098402
P8467_1133	17.1908515075873	-10.7541228698856
P8467_1134	7.11694180329372	-4.98895849520451
P8467_1135	6.46035701052918	0.92198845581751
P8467_1136	13.1284270488071	-3.67509750356054
P8467_1137	5.66858199788819	-6.38825778693361
P8467_1138	-11.9040445244097	19.0474709587452
P8467_1139	6.21526247973924	2.73440099292927
P8467_1140	6.74951468530104	4.08815607422808
P8467_1141	15.2326860458867	-9.47468776927612
P8467_1142	-8.08407660398113	20.4229497697424
P8467_1143	-7.49626464737337	-12.036975866474
P8467_1144	-10.7504540424289	19.0323061047919
P8467_1145	-1.03033004966197	11.6844683450221
P8467_1146	-10.6409591809135	14.9985151834516
P8467_1147	-8.54086130781714	-10.3863093838998
P8467_1148	-0.363096076890282	-2.17512210823677
P8467_1149	-5.23279999969673	-10.2953327048256
P8467_1150	17.1359306616261	-10.3219304415313
P8467_1151	-7.70646537043316	-12.4798444869462
P8467_1152	15.9186503735775	-16.5381203677845
P8467_1153	0.50194211172479	12.7827566782224
P8467_1154	-14.7177893988484	15.3361284115968
P8467_1155	-10.0128343679215	18.888198066134
P8467_1156	0.00513009524902399	-2.02594611517359
P8467_1157	14.3277958500305	-16.5491942645074
P8467_1158	1.65634120194818	-0.28715029209704
P8467_1159	-8.0835510863724	-14.3912378809173
P8467_1160	-7.8112991509773	18.5522061574009
P8467_1161	-0.393677364461293	12.0105548622427
P8467_1162	13.7818012797982	-17.0584680883432
P8467_1163	1.3213972747811	-8.62602043266055
P8467_1164	0.767360630275456	-2.41119257778134
P8467_1165	7.20316830129549	-1.70253093432678
P8467_1166	4.05008209221555	-8.95461625691624
P8467_1167	-2.95581931579382	-11.3768059383622
P8467_1168	15.9443115828037	-9.34346355694009
P8467_1169	-1.88940885167592	-12.8464388813505
P8467_1170	-0.971931070397078	-5.40163577539983
P8467_1171	-12.2561119817502	19.7331906352506
P8467_1172	-0.212936007791975	12.3501728995535
P8467_1173	1.40923818774018	13.1387087633126
P8467_1174	1.60370603778002	13.1674597586938
P8467_1175	-15.0641137833467	15.0034303040137
P8467_1176	14.4304485795604	-14.2760233885629
P8467_1177	3.87984960579256	-7.43049359084495
P8467_1178	5.89726659931551	1.94962702803496
P8467_1179	13.6167316361714	-16.85976219736
P8467_1180	-9.14910719008177	18.8919562260339
P8467_1181	-7.54609471806004	-12.439441936346
P8467_1182	-5.06304636284025	-10.2090530475191
P8467_1183	-11.3563786145119	14.3440647595293
P8467_1184	-11.1391486716106	15.8796100307484
P8467_1185	-15.3178080903633	14.1045436220056
P8467_1186	-1.1022474337394	11.7483521168244
P8467_1187	-1.12600184010033	-4.43520086108434
P8467_1188	-7.65254605997645	15.544785963551
P8467_1189	4.99815961978015	-4.01086343306038
P8467_1190	-9.17828536104177	15.7137383648728
P8467_1191	-5.28255198277403	-11.1944160870219
P8467_1192	13.2235201428717	-3.53778174232769
P8467_1193	5.72279020694778	-3.17296639376835
P8467_1194	-7.40420295270677	-13.5192926735594
P8467_1195	6.2972064161518	-1.4273742834849
P8467_1196	-5.99394014390115	-12.6900173907987
P8467_1197	-7.10769184275724	6.25621326240935
P8467_1198	10.4920506482382	-10.5951151585757
P8467_1199	13.0923061062798	-3.80140862122436
P8467_1200	-7.13953427553466	-13.4567007698769
P8467_1201	7.69150673431805	1.07038160510585
P8467_1202	-0.182328199558529	13.1001270143031
P8467_1203	-12.5033427609557	16.6629134596098
P8467_1204	-3.34034519546353	-2.26954671468216
P8467_1205	-6.43463724889408	-13.6307112802442
P8467_1206	1.81112558253975	13.6244281088826
P8467_1207	-8.83127379748745	17.4908600861242
P8467_1208	2.78995805378436	-6.06596906012805
